target_price_m2,obj_grp_cstr_year,obj_grp_m2,inp_sell_date_dow,inp_nr_rooms,inp_adress_floor,inp_grp_m2_int,inp_grp_mnth_fee_to_m2_int,inp_grp_cstr_year_int,inp_mnth_fee_to_m2,inp_construction_year,inp_m2,inp_mnth_fee_to_nr_rooms,inp_mnth_fee,grp_tot_duration_time_mins,grp_tot_transit_distance_km,grp_lng,grp_lat,inp_lat,inp_lng,inp_distance_first_transit_km,inp_tot_transit_distance_km,inp_tot_duration_time_mins,inp_sub_agg_distance_num_km_steps_bus_sum,inp_sub_agg_distance_num_km_steps_heavy_rail_sum,inp_sub_agg_distance_num_km_steps_subway_sum,inp_sub_agg_distance_num_km_steps_tram_sum,inp_sub_agg_duration_time_mins_steps_bus_sum,inp_sub_agg_duration_time_mins_steps_heavy_rail_sum,inp_sub_agg_duration_time_mins_steps_subway_sum,inp_sub_agg_duration_time_mins_steps_tram_sum,inp_distance_to_sea_km,inp_duration_time_transit_prct_bus,inp_duration_time_transit_prct_rail,inp_duration_time_transit_prct_subway,inp_duration_time_transit_prct_tram,inp_distance_traveled_transit_prct_transit,inp_distance_traveled_transit_prct_bus,inp_distance_traveled_transit_prct_rail,inp_distance_traveled_transit_prct_subway,inp_distance_traveled_transit_prct_tram,inp_distance_traveled_transit_prct_sea,inp_tot_transit_steps_count,inp_sub_agg_transit_steps_bus_count,inp_sub_agg_transit_steps_heavy_rail_count,inp_sub_agg_transit_steps_subway_count,inp_sub_agg_transit_steps_tram_count,inp_f_wlk_bus_wlk,inp_f_wlk_subway_wlk,inp_f_wlk_heavyrail_wlk,inp_f_wlk_bus_subway_wlk,inp_f_wlk_bus_heavyrail_wlk,inp_f_wlk_subway_subway_wlk,inp_f_wlk_tram_subway_wlk,inp_f_wlk_tram_heavyrail_wlk,inp_f_wlk_bus_subway_subway_wlk,inp_f_wlk_subway_tram_heavyrail_wlk,inp_f_first_transit_bus,inp_f_first_transit_subway,inp_f_first_transit_tram,inp_f_first_transit_heavy_rail,inp_f_first_transit_walking
43077.0,"(1955.0, 1960.0]","(60.0, 70.0]",3,4.0,2,9,9,11,63,1960.0,65.0,1020,4080,"(20.0, 25.0]","(10.0, 12.0]","(18.027, 18.326]","(59.276, 59.286]",59.281216,18.045695300000002,0.4,10.366,23.0,2.3,7.6,0.0,0.0,9.0,9.0,0.0,0.0,2.6944916482111565,0.39130434782608703,0.39130434782608703,0.0,0.0,0.03858769052672198,0.22187922052865136,0.7331661200077175,0.0,0.0,0.25993552462002284,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
42901.0,"(2015.0, 2020.0]","(80.0, 90.0]",3,4.0,2,11,4,19,39,2016.0,81.0,789,3157,"(30.0, 40.0]","(18.0, 100.0]","(17.816, 17.866]","(59.346, 59.546]",59.38404120000001,17.8249503,0.2,26.766,36.0,3.5,23.0,0.0,0.0,14.0,18.0,0.0,0.0,10.641981151913416,0.3888888888888889,0.5,0.0,0.0,0.007472166180975866,0.13076290816707764,0.8592991108122245,0.0,0.0,0.3975932583095501,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
64463.0,"(2005.0, 2010.0]","(60.0, 70.0]",3,2.0,2,9,6,17,47,2010.0,60.5,1415,2830,"(15.0, 20.0]","(4.0, 6.0]","(18.007, 18.027]","(59.326, 59.336]",59.334307200000005,18.0171591,0.4,5.192,16.0,0.0,0.0,4.7,0.0,0.0,0.0,10.0,0.0,0.5907741083784538,0.0,0.0,0.625,0.0,0.07704160246533127,0.0,0.0,0.9052388289676424,0.0,0.11378546001125844,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
84158.0,"(2000.0, 2005.0]","(50.0, 55.0]",3,2.0,3,7,9,16,64,2001.0,50.5,1608,3215,"(5.0, 10.0]","(2.0, 4.0]","(18.027, 18.326]","(59.326, 59.336]",59.333189100000006,18.0272607,0.3,2.392,9.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.5538920711407492,0.0,0.0,0.4444444444444444,0.0,0.1254180602006689,0.0,0.0,0.8361204013377926,0.0,0.23156023041001225,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
38095.0,"(1980.0, 1990.0]","(60.0, 70.0]",3,2.0,2,9,9,14,63,1984.0,63.0,1996,3992,"(20.0, 25.0]","(8.0, 10.0]","(18.027, 18.326]","(59.266, 59.276]",59.2659744,18.133685,0.075,9.667,23.0,0.0,0.0,9.5,0.0,0.0,0.0,21.0,0.0,4.870282610318967,0.0,0.0,0.9130434782608696,0.0,0.007758353160235855,0.0,0.0,0.9827247336298748,0.0,0.5038049664134652,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
100000.0,"(1925.0, 1930.0]","(25.0, 30.0]",3,1.0,2,2,9,5,62,1929.0,30.0,1847,1847,"(10.0, 15.0]","(2.0, 4.0]","(18.007, 18.027]","(59.336, 59.346]",59.338832,18.022478399999997,0.6,3.792,15.0,0.0,0.0,3.1,0.0,0.0,0.0,6.0,0.0,0.11424735595718295,0.0,0.0,0.4,0.0,0.1582278481012658,0.0,0.0,0.8175105485232067,0.0,0.03012852214060732,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
88235.0,"(1879.999, 1890.0]","(50.0, 55.0]",2,2.0,3,7,7,0,51,1885.0,51.0,1292,2585,"(15.0, 20.0]","(6.0, 8.0]","(18.027, 18.326]","(59.346, 59.546]",59.34885360000001,18.057669399999998,0.1,7.392,18.0,1.8,0.0,5.4,0.0,7.0,0.0,9.0,0.0,1.681436721040542,0.3888888888888889,0.0,0.5,0.0,0.013528138528138528,0.2435064935064935,0.0,0.7305194805194806,0.0,0.2274670888853547,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
70233.0,"(2010.0, 2015.0]","(40.0, 45.0]",2,1.5,2,5,8,18,57,2012.0,43.0,1633,2450,"(20.0, 25.0]","(6.0, 8.0]","(17.987, 18.007]","(59.296, 59.306]",59.298403500000006,18.002438899999998,0.5,7.5920000000000005,21.0,0.0,0.0,7.0,0.0,0.0,0.0,14.0,0.0,1.7140185339349563,0.0,0.0,0.6666666666666666,0.0,0.06585879873551106,0.0,0.0,0.922023182297155,0.0,0.2257664033107161,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
54286.0,"(1955.0, 1960.0]","(30.0, 35.0]",2,1.0,2,3,11,11,73,1960.0,35.0,2542,2542,"(25.0, 30.0]","(12.0, 14.0]","(17.947, 17.967]","(59.346, 59.546]",59.4069093,17.947259399999997,0.6,13.092,27.0,0.0,0.0,12.4,0.0,0.0,0.0,18.0,0.0,7.804145112419515,0.0,0.0,0.6666666666666666,0.0,0.045829514207149404,0.0,0.0,0.9471432936144208,0.0,0.5961002988404762,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
107556.0,"(1945.0, 1950.0]","(20.0, 25.0]",2,1.0,7,1,10,9,69,1949.0,22.5,1550,1550,"(5.0, 10.0]","(2.0, 4.0]","(18.007, 18.027]","(59.336, 59.346]",59.3380792,18.014450699999998,0.047,3.2390000000000003,8.0,0.0,0.0,3.1,0.0,0.0,0.0,6.0,0.0,0.2590247015401834,0.0,0.0,0.75,0.0,0.014510651435628281,0.0,0.0,0.9570855202222908,0.0,0.0799705778141968,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
